Country ,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
South Africa,Sub-Saharan Africa,109,4.814099789,0.902140439,1.259086251,0.407034069,0.43478182,0.05950214,0.126406848,1.625117302
Iraq,Middle East and Northern Africa,110,4.784800053,0.982018709,1.011466622,0.529350698,0.283588052,0.073164992,0.153002068,1.752173662
Lebanon,Middle East and Northern Africa,111,4.771500111,0.889232516,1.19249332,0.788671136,0.18551667,0.021518147,0.158524141,1.53554225
Burkina Faso,Sub-Saharan Africa,112,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.126408055,0.186390609,2.588826418
Mali,Sub-Saharan Africa,114,4.729300022,0.352462649,0.97314173,0.234981522,0.377534449,0.062146276,0.16966705,2.559335232
Nigeria,Sub-Saharan Africa,115,4.724100113,0.645901859,0.986717939,0.167835936,0.435079455,0.047589935,0.221328124,2.219635487
Armenia,Central and Eastern Europe,116,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.104618184,0.107225738,1.468161583
Georgia,Central and Eastern Europe,117,4.672599792,0.847198069,0.7311939,0.694657624,0.485494107,0.174088076,0.047609735,1.69239831
Iran,Middle East and Northern Africa,118,4.672399998,1.029322505,0.886271179,0.749053836,0.301195472,0.142651513,0.27697894,1.286969423
Jordan,Middle East and Northern Africa,119,4.633399963,0.785179198,1.140118599,0.777624726,0.424855083,0.151878625,0.091494769,1.262258053
Kenya,Sub-Saharan Africa,121,4.583000183,0.476413399,0.905077755,0.536312759,0.519180536,0.067201078,0.393902093,1.684904575
Ukraine,Central and Eastern Europe,123,4.56069994,0.780434608,1.321316481,0.698674381,0.319423705,0.00965116,0.178551316,1.252669334
Liberia,Sub-Saharan Africa,124,4.557899952,0.174103007,0.920733929,0.392284274,0.405943096,0.051139876,0.226967871,2.386757851
Palestinian Territories,Middle East and Northern Africa,125,4.552800179,0.587819219,1.194755554,0.613826573,0.29870075,0.071913652,0.091816261,1.693985701
Uganda,Sub-Saharan Africa,126,4.43200016,0.312337428,1.052327394,0.378311664,0.401682556,0.063818842,0.264807373,1.958671093
Chad,Sub-Saharan Africa,127,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,0.085755408,0.210805088,2.74742651
